product_name,asin,product_url,brand_name,image_url,mrp,sale_price,discount_percentage,product_description,date_first_available,number_of_reviews,seller_name
BHAGIRATH Standard comfort Disposable Pollution/Surgical Elastic Mask Surgical Face Mask with Earloop Great for Air Pollution Virus. 1,B085GL266P,https://www.amazon.in/BHAGIRATH-Standard-Disposable-Pollution-Surgical/dp/B085GL266P/,Bhagirath fab,https://images-na.ssl-images-amazon.com/images/I/61XinzsWunL._SL1100_.jpg,16999.00,199.00,99%,IND mask covers the user’s nose and mouth and provides a physical barrier to fluids and particulate materials. The surgical masks referenced in this guidance document include masks that are labeled as a surgical  laser  isolation  dental or medical procedure masks with or without a face shield.,2020-03-01T00:00:00,0,Bhagirath fab
SHOPPERMART urgical Face Mask Disposable - Pack of 5,B07YPSZK39,https://www.amazon.in/SHOPPERMART-urgical-Face-Mask-Disposable/dp/B07YPSZK39/,SHOPPERMART,https://images-na.ssl-images-amazon.com/images/I/61BgE1t%2BUJL._SL1000_.jpg,,,,Easy breathable  effective multiplayer bacterial filter  soft  lightweight  comfortable and easy to wear  used in medical  dental  laboratory  food sectors  school  household  industry and multi-purpose  bacteria filtration efficiency 99%  particle filtration efficiency (0.1 micron) 99%  virus filtration efficiency (0.1 micron) 99%  fluid repellent 120 mmhg  breathable < 49 0 pa fluid resistant hygienic & skin friendly,2019-10-03T00:00:00,2,
ShopyBucket Standard 3 PCS comfort Disposable Pollution Elastic Mask Disposable 3 Ply Face Mask with Earloop Great for Air Pollution Virus Protection & Personal Health Face Mask,B0855V7MQ8,https://www.amazon.in/ShopyBucket-Standard-Disposable-Pollution-Protection/dp/B0855V7MQ8/,Shopy,https://images-na.ssl-images-amazon.com/images/I/61SPmUgDP9L._SL1100_.jpg,798.00,510.00,36%,,2020-02-26T00:00:00,0,BasicDeal
Ivaan Disposable Earloop Medical Face Masks Two Layer Non-Woven Pack 0f 100 pcs,B082HDNJCP,https://www.amazon.in/Ivaan-Disposable-Earloop-Medical-Non-Woven/dp/B082HDNJCP/,IVAAN,https://images-na.ssl-images-amazon.com/images/I/71MXY9ud8OL._SL1500_.jpg,,,,Facemasks help limit the spread of germs. When someone talks  coughs  or sneezes they may release tiny drops into the air that can infect others. If someone is ill face masks can reduce the number of germs that the wearer releases and can protect other people from becoming sick. A face mask also protects the wearer's nose and mouth from splashes or sprays of body fluids. It is ideal for every house in day to day activities as well as doctors  surgeons  dentist  dental assistance  nurses  landscapers  contractors  plumbers  exterminators  nail technicians and many more.,2019-12-08T00:00:00,6,
TRENDING Anti-Pollution Dust Cotton Unisex Mouth Half Face Mask Pack of 5 pcs,B084GTYK9V,https://www.amazon.in/TRENDING-Anti-Pollution-Cotton-Unisex-Mouth/dp/B084GTYK9V/,TRENDING,https://images-na.ssl-images-amazon.com/images/I/61NgGkXHvxL._SL1000_.jpg,,,,Made of Cotton Materials Perfect for daily wear to protect you from dust  ash and so on. A good choice for sports such as cycling  camping  hiking. One size fit all Unisex Cycling Anti-Dust Cotton Mouth Face Mask Respirator Black. Its Brand New product. Good for Bikers and cyclist. It protects your health from polluted air.,2020-02-03T00:00:00,9,
Gnexin ISI Approved Mask RespiratorPollutionAnti virus,B084M511KM,https://www.amazon.in/Gnexin-Approved-Respirator-Pollution-virus/dp/B084M511KM/,Gnexin,https://images-na.ssl-images-amazon.com/images/I/81VHcJC8uaL._SL1500_.jpg,299.00,299.00,,Clair filters presents you Pollution mask ISI certified. This mask helps in filtering the air upto 95% as it is certified from ISI. This a cup shaped mask with metal nose clip with nose foam for better comfort. It also consists of an exhalation valve that help in long hours usage of this mask.,2020-02-09T00:00:00,2,ONESENSE ENTERPRISE
3M 9004 IN Particulate Respirator White Pack of 10,B0146DETH6,https://www.amazon.in/3M-9004-Particulate-Respirator-White/dp/B0146DETH6/,3M,https://images-na.ssl-images-amazon.com/images/I/51PaGmzL2oL._SL1010_.jpg,,,,The 3M 9004 IN is a dust mask composed of three layers of filters. The outermost layer filters out the largest dust particles  the innermost layer preserves the respirator’s shape and the middle layer is composed of electrostatic filter media. It has the ability of this respirator mask to filter above 90 percent of 0.3-micron particulate dusts. Scientific research has proven that for all dust particles sizes  0.3 micron dust are the most difficult to filter effectively. This 3M mask is used as a disposable face mask for respiratory protection against fine dust particles. It is a bestselling safety mask in 3M safety products line. 3M 9004 mask has cup shape design and comes with aluminium nose clip and neoprene elastic band for comfortable fitting on every face. 3M 9004 is not a N95 mask and it is not a breathing mask used in acid/alkaline/gas particles.,2015-08-20T00:00:00,839,
Ashley Plastic Disposable Ear Loop Elastic 2 Layer Face Mask Blue - 100 Pieces,B07XRPLXXW,https://www.amazon.in/Ashley-Plastic-Disposable-Elastic-Layer/dp/B07XRPLXXW/,Ashley,https://images-na.ssl-images-amazon.com/images/I/513GV61ANyL._SL1000_.jpg,,,,We Ashley are well-known and distinguished manufacturer of a wide range of disposable caps  shower cap  disposable covers  medical masks  disposable briefs  disposable bed sheet. Ashley is committed to achieving 100 % by supplying products according to the requirement. We are well equipped with machinery which enables us in maintaining the aspects.,2019-09-10T00:00:00,0,
Kodenipr Club Disposable Stretchable Blue Bouffant Caps/Surgical Caps/Cooking Caps 100 Pieces,B0777HKWJF,https://www.amazon.in/Aurum-Creations-Disposable-Stretchable-100/dp/B0777HKWJF/,KODENIPR CLUB,https://images-na.ssl-images-amazon.com/images/I/61JUTABTYrL._SL1246_.jpg,299.00,60.00,80%,Disposable cap is produced using spun bond polymer non-woven texture  spun-bind textures as the principle crude material. This material is favored for its light weight. Its gravity is lighter than hydrophobic pp strands so it has great water repellency and air penetrability bringing about giving solace and dryness bringing about the enemy of bacterial and against contagious obstruction.,2017-08-09T00:00:00,199,Genesis Lifesciences (India) Pvt. Ltd.
SMARTCARE Face Mask Cloth Tie Green,B079CHH5M3,https://www.amazon.in/Smart-Care-Face-Cloth-Green/dp/B079CHH5M3/,SMARTCARE,https://images-na.ssl-images-amazon.com/images/I/61oieimEvzL._SL1200_.jpg,1000.00,250.00,75%,Cloth Face masks. Used in medical  dental  laboratory  food sectors  school  household  industry and multi-purpose. Easy breathable  effective multilayer bacterial filter. Soft  lightweight  comfortable and easy to wear Smart Care Trust.,2018-01-28T00:00:00,1,Aastha Uniform and Overgowns
