url,product,id,name,mrp,discounted,star1,star2,star3,star4,star5
https://www.amazon.in//Disposable-Packets-Elastic-Ear-Loop-Quality/dp/B073XM2KP3?dchild=1,facemasks,B073XM2KP3,"SURGICOMFORT Non Woven Elastic Ear-Loop Disposable Face Mask, 100 Pieces"," ₹ 1,000.00",₹ 151.00,40,9,13,14,24
https://www.amazon.in//Mediweave-Reusable-Cotton-Non-Woven-Filter/dp/B087N7WWGD?dchild=1,facemasks,B087N7WWGD,"Mediweave Reusable 100% Cotton Cloth Face Mask with Non-Woven Filter Mix Color (Pack of 7, Assorted Print and Colors, Images are representative)", ₹ 499.00,₹ 324.00,30,12,15,17,27
https://www.amazon.in//Non-Woven-Disposable-Medical-without-Nose-Pin/dp/B08FJ9JXXW?dchild=1,facemasks,B08FJ9JXXW,RSM 3 Layer Non-Woven Disposable Medical Face Mask without Nose-Pin (Pack of 50), ₹ 349.00,₹ 249.00,0,0,0,0,0
https://www.amazon.in//Steelbird-SBA-2-7Wings-Protector-Everyone/dp/B0897TYXTT?dchild=1,facemasks,B0897TYXTT,"Steelbird SBA-2 7Wings Unisex Helmet Visor Face Shield, Static Full Face Protector For Each and Everyone (Pack of 2)", ₹ 898.00,₹ 799.00,5,3,6,25,61
https://www.amazon.in//Vocado-Layer-Filter-Protection-Adults/dp/B089K91MK8?dchild=1,facemasks,B089K91MK8,"Vocado 5 Layer Filter Protection Face Mask Kn95 With Nose Clip for Adults (Pack of 4, White)", ₹ 399.00,₹ 121.00,40,11,14,16,19
https://www.amazon.in//Van-Heusen-Mens-Cotton-VHMSBRGPH53287_Assorted_Free/dp/B0883CG5Y9?dchild=1,facemasks,B0883CG5Y9,Van Heusen Men's Cotton Face Mask (VHMSBRGPH53287_Assorted_Free Size), ₹ 499.00,₹ 394.00,23,8,11,22,37
https://www.amazon.in//Mobistik-Disposable-Layer-Filter-Woven/dp/B089YNHRP9?dchild=1,facemasks,B089YNHRP9,Mobistik Disposable Face Mask with 3 Layer Filter Non Woven (Pack of 10), ₹ 399.00,₹ 149.00,19,5,7,8,60
https://www.amazon.in//AMMINO-Pollution-Dustproof-Reusable-Washable/dp/B08FNKM28R?dchild=1,facemasks,B08FNKM28R,AMMINO India Anti Pollution Dustproof/Block Print Reusable Washable 2 Ply Cotton Face Mask Made in India for Men and Women -(Pack of 5), ₹ 399.00,₹ 239.00,0,0,0,0,0
https://www.amazon.in/Shocknshop-Multicolor-Printed-Reusable-Washable/dp/B08D6S5ZFN,facemasks,B08D6S5ZFN,Shocknshop Cotton Multicolor Printed Reusable And Washable Face Mask - Pack of 3, ₹ 899.00,₹ 299.00,33,9,0,0,58
https://www.amazon.in//Marcloire-certified-6-Layered-Protection-Blue-Grey/dp/B08D1M8XJS?dchild=1,facemasks,B08D1M8XJS,Marcloire Standard Size Adult ISO CE certified Printed Reusable/Washable 6-Layered Outdoor Protection Face Mask with Improved Ear Loops for Men/Women(Pack of 2) (Blue-Grey), ₹ 599.00,₹ 265.00,0,0,0,0,0
https://www.amazon.in/Gear-Pro-Plus-Face-Black/dp/B01ALULL9C,facemasks,B01ALULL9C,"Le Gear Face Mask Pro+ for Bike, Ski, Cycling, Running, Hiking - Protects from Wind, Sun, Dust - 4 Way Stretch - #1 Rated Face Protection Mask (Black)", ₹ 700.00,₹ 265.00,9,6,12,25,48
https://www.amazon.in//Scott-International-Unisex-Reusable-Black/dp/B088TRHWYP?dchild=1,facemasks,B088TRHWYP,Scott International Unisex Reusable Face Mask, ₹ 597.00,₹ 169.00,20,8,13,24,35
https://www.amazon.in//Upline-Baby-Face-Washable-Reusable/dp/B089QFGSJJ?dchild=1,facemasks,B089QFGSJJ,Upline LSARIMO Baby Face mask Washable and Reusable for Kids (6 Kids Loving Color), ₹ 899.00,₹ 459.00,10,10,10,23,48
https://www.amazon.in//Marcloire-certified-6-Layered-Protection-Black-Grey/dp/B08CDMQGZN?dchild=1,facemasks,B08CDMQGZN,"Marcloire Standard Size Adult ISO CE certified Reusable/Washable 6-Layered Outdoor Protection Face Mask with Improved Ear Loops for Men/Women(Pack of 2) (Dotted, Black-Grey)", ₹ 599.00,₹ 240.00,17,12,1,20,51
https://www.amazon.in//Pure-Herbology-natural-sandalwood-powder/dp/B07VH4B1PJ?dchild=1,facemasks,B07VH4B1PJ,"Pure Herbology pure and natural sandalwood powder, best for face mask, skin care, 100gm", ₹ 199.00,₹ 179.00,12,4,10,25,48
https://www.amazon.in/Autofy-Multipurpose-Freesize-Headwrap-Motorcycle/dp/B07JVJGKP4,facemasks,B07JVJGKP4,Autofy Unisex Bandana Combo Multipurpose Freesize Lycra Headwrap Riding Hair Band Motorcycle Face Mask For Men And Women (Set of 4), ₹ 799.00,₹ 240.00,28,11,15,19,28
https://www.amazon.in//Marcloire-Standard-certified-6-Layered-Protection/dp/B08CDLZJB5?dchild=1,facemasks,B08CDLZJB5,"Marcloire Standard Size Adult ISO CE certified Reusable/Washable 6-Layered Outdoor Protection Face Mask with Improved Ear Loops for Men/Women (Combo-2, Pack of 6)", ₹ 999.00,₹ 699.00,25,0,32,18,25
https://www.amazon.in//YAPZONE-Beautiful-Runnimg-Unicorn-shining/dp/B08CPDSBSR?dchild=1,facemasks,B08CPDSBSR,YAPZONE Beautiful Runnimg Unicorn shining printed face mask for kids, ₹ 299.00,₹ 139.00,0,0,0,0,0
https://www.amazon.in//Bismaadh-Face-Mask-Protection-12/dp/B07XMN8HQN?dchild=1,facemasks,B07XMN8HQN,"Bismaadh UV Face Mask - Neck Gaiter for Dust & Sun Protection - Face Cover/Scarf for Fishing, Hiking, Cycling & ATV Riding - UPF 30 Breathable Summer Balaclava - Moisture Wicking 12-in-1 Headwear", ₹ 599.00,₹ 199.00,52,9,9,8,22
https://www.amazon.in//Gear-Pro-Plus-Face-White/dp/B01EN0US4U?dchild=1,facemasks,B01EN0US4U,"LeGear Balaclava Face Mask Pro+ for Bike, Ski, Cycling, Running, Hiking - Protects From Wind, Sun, Dust - 4 Way Stretch - #1 Rated Face Protection Mask (White)", ₹ 499.00,₹ 280.00,7,5,13,24,50
https://www.amazon.in//PrimeBox-Black-Helmet-Types-Bikers/dp/B0813HR4RH?dchild=1,facemasks,B0813HR4RH,PrimeBox Black Full Face Mask Helmet Types Full Face Cover For Bikers, ₹ 499.00,₹ 150.00,0,0,0,0,0
https://www.amazon.in//Autoridez-Fabric-Skull-Bikers-Protection/dp/B07JCNWNVH?dchild=1,facemasks,B07JCNWNVH,PrimeBox Men's Cotton Fabric Skull Style Dust Protection Face Mask for Bikers (Black), ₹ 399.00,₹ 135.00,28,13,17,7,36
https://www.amazon.in//Neysa-Face-Cycling-Running-Hiking/dp/B08BJ7QZRY?dchild=1,facemasks,B08BJ7QZRY,"Neysa Face Mask Pro+ for Bike, Ski, Cycling, Running, Hiking - Protects from Wind, Sun, Dust - 4 Way Stretch - Face Protection Mask (Black)", ₹ 449.00,₹ 349.00,0,0,0,0,0
https://www.amazon.in//Steelbird-7Wings-Unisex-Protector-Everyone/dp/B08B5G2QHH?dchild=1,facemasks,B08B5G2QHH,"Steelbird SBA-2 7Wings Unisex Helmet Visor Face Shield, Static Full Face Protector,Face Mask For Each and Everyone (Pack of 2)", ₹ 898.00,₹ 750.00,15,11,6,20,48
https://www.amazon.in//Shocknshop-Multicolor-Printed-Reusable-Washable/dp/B08D6NDRQC?dchild=1,facemasks,B08D6NDRQC,Shocknshop Cotton Multicolor Printed Reusable And Washable Cloth Face Mask - Pack of 3, ₹ 899.00,₹ 299.00,0,0,0,0,0
