index,product,name,mrp_now,price_now,star1,star2,star3,star4,star5,mrp_then,price_then
0,facemasks,"SURGICOMFORT Non Woven Elastic Ear-Loop Disposable Face Mask, 100 Pieces",1000.0,151.0,24.0,9.0,13.0,14.0,24.0,,
1,facemasks,"Mediweave Reusable 100% Cotton Cloth Face Mask with Non-Woven Filter Mix Color (Pack of 7, Assorted Print and Colors, Images are representative)",499.0,324.0,27.0,12.0,15.0,17.0,27.0,,
2,facemasks,RSM 3 Layer Non-Woven Disposable Medical Face Mask without Nose-Pin (Pack of 50),349.0,249.0,0.0,0.0,0.0,0.0,0.0,,
3,facemasks,"Steelbird SBA-2 7Wings Unisex Helmet Visor Face Shield, Static Full Face Protector For Each and Everyone (Pack of 2)",898.0,799.0,61.0,3.0,6.0,25.0,61.0,,
4,facemasks,"Vocado 5 Layer Filter Protection Face Mask Kn95 With Nose Clip for Adults (Pack of 4, White)",399.0,121.0,19.0,11.0,14.0,16.0,19.0,,
5,facemasks,Van Heusen Men's Cotton Face Mask (VHMSBRGPH53287_Assorted_Free Size),499.0,394.0,37.0,8.0,11.0,22.0,37.0,,
6,facemasks,Mobistik Disposable Face Mask with 3 Layer Filter Non Woven (Pack of 10),399.0,149.0,60.0,5.0,7.0,8.0,60.0,,
7,facemasks,AMMINO India Anti Pollution Dustproof/Block Print Reusable Washable 2 Ply Cotton Face Mask Made in India for Men and Women -(Pack of 5),399.0,239.0,0.0,0.0,0.0,0.0,0.0,,
8,facemasks,Shocknshop Cotton Multicolor Printed Reusable And Washable Face Mask - Pack of 3,899.0,299.0,58.0,9.0,0.0,0.0,58.0,,
9,facemasks,Marcloire Standard Size Adult ISO CE certified Printed Reusable/Washable 6-Layered Outdoor Protection Face Mask with Improved Ear Loops for Men/Women(Pack of 2) (Blue-Grey),599.0,265.0,0.0,0.0,0.0,0.0,0.0,,
