url,product,name,mrp,discounted,star5,star4,star3,star2,star1
https://www.flipkart.com/vebnor-100-units-disposable-3-layer-pharmaceutical-breathable-surgical-pollution-face-mask-respirator-ply-men-women-kids-100/p/itm7a60af5736e4a?pid=MRPFS2EQGZE3HCHM&lid=LSTMRPFS2EQGZE3HCHM2IXXLP&marketplace=FLIPKART&srno=s_1_1&otracker=search&fm=organic&iid=0b6d1e49-20b8-45f1-91d1-4635b91ffd63.MRPFS2EQGZE3HCHM.SEARCH&ssid=47rvwc0wuo0000001597549158205&qH=50c82b3d02290f82,facemasks,"VeBNoR 100 Units Disposable 3 Layer Pharmaceutical Breathable Surgical Pollution Face Mask Respirator with 3 Ply For Men, Women, Kids 3 Layer Pharmaceutical mask (100) Surgical Mask  (Blue, Free Size, Pack of 100, 3 Ply)",800,249,2874.0,1488.0,1006.0,357.0,608.0
https://www.flipkart.com/wildcraft-hypashield-supermask-reusable-outdoor-protection-mask-12535/p/itmef53b872f543f?pid=MRPFQN3ZKKEE75ZV&lid=LSTMRPFQN3ZKKEE75ZVMDFUZH&marketplace=FLIPKART&srno=s_1_2&otracker=search&fm=organic&iid=0b6d1e49-20b8-45f1-91d1-4635b91ffd63.MRPFQN3ZKKEE75ZV.SEARCH&ssid=47rvwc0wuo0000001597549158205&qH=50c82b3d02290f82,facemasks,"Wildcraft HypaShield Supermask reusable outdoor protection mask 12535  (Black, L, Pack of 3)",600,429,37659.0,24539.0,11441.0,3904.0,6035.0
https://www.flipkart.com/godrej-protekt-p-w95-reusable-face-mask-large-navy-8901023023170/p/itmd59d929acc6ba?pid=MRPFSMCVUK8UC7TG&lid=LSTMRPFSMCVUK8UC7TG0TWIXN&marketplace=FLIPKART&srno=s_1_3&otracker=search&fm=organic&iid=0b6d1e49-20b8-45f1-91d1-4635b91ffd63.MRPFSMCVUK8UC7TG.SEARCH&ssid=47rvwc0wuo0000001597549158205&qH=50c82b3d02290f82,facemasks,"Godrej Protekt P-W95 Reusable Face Mask Large Navy 8901023023170  (Blue, L, Pack of 2)",480,336,2310.0,1390.0,594.0,188.0,226.0
https://www.flipkart.com/nea-cotton-3-layer-protective-reusable-face-mask-respirator-washable-fabric-cloth-water-resistant-reusable/p/itm45f6cc63ab12b?pid=MRPFUFG6BJYSQNQW&lid=LSTMRPFUFG6BJYSQNQWOUGJ6T&marketplace=FLIPKART&srno=s_1_4&otracker=search&fm=organic&iid=en_uNUT1nrjQzv4D2jgEwV%2FzPNvhSZB6Nm3GTUov51biUOcuqYYm%2BAkCrV2WKQcaAKCPOn7Vu7oIElPpM0cj9CmNw%3D%3D&ssid=47rvwc0wuo0000001597549158205&qH=50c82b3d02290f82,facemasks,"NEA COTTON 3-LAYER PROTECTIVE REUSABLE FACE Mask Respirator WASHABLE FABRIC CLOTH MASK Water Resistant, Reusable, Washable  (Orange, Blue, Pink, Free Size, Pack of 3)",299,249,6.0,2.0,1.0,1.0,0.0
https://www.flipkart.com/van-heusen-vhmsbrgb651658-cloth-mask-melt-blown-fabric-layer/p/itm82abd39e4c2a9?pid=MRPFTK52KA72ZHJP&lid=LSTMRPFTK52KA72ZHJPNSDIQO&marketplace=FLIPKART&srno=s_1_5&otracker=search&fm=organic&iid=0b6d1e49-20b8-45f1-91d1-4635b91ffd63.MRPFTK52KA72ZHJP.SEARCH&ssid=47rvwc0wuo0000001597549158205&qH=50c82b3d02290f82,facemasks,"Van Heusen VHMSBRGB651658 Cloth Mask With Melt Blown Fabric Layer  (Blue, Free Size, Pack of 4)",499,424,192.0,91.0,35.0,9.0,7.0
https://www.flipkart.com/vebnor-4-piece-combo-n95-mask-reusable-washable-respirator-pollution-breathable-kn95-face-men-women-kids-5-layers-protection-reusable/p/itm9070fa07d630a?pid=MRPFT5JEHPVE6ZHV&lid=LSTMRPFT5JEHPVE6ZHVXTTOI8&marketplace=FLIPKART&srno=s_1_6&otracker=search&fm=organic&iid=0b6d1e49-20b8-45f1-91d1-4635b91ffd63.MRPFT5JEHPVE6ZHV.SEARCH&ssid=47rvwc0wuo0000001597549158205&qH=50c82b3d02290f82,facemasks,"VeBNoR 4 PIECE COMBO OF N95 mask reusable N95 mask washable Respirator Pollution Breathable KN95 mask Face Mask Respirator for Men Women Kids 5 Layers Protection 4 PIECE COMBO OF N95 mask reusable N95 mask washable Respirator Pollution Breathable KN95 mask Face Mask Respirator for Men Women Kids 5 Layers Protection Reusable, Washable  (Black, Yellow, Grey, Green, Free Size, Pack of 4)",600,199,882.0,495.0,403.0,149.0,260.0
https://www.flipkart.com/nea-n95-kn95-5-layer-anti-pollution-virus-reusable-washable-protective-respiraory-face-mask-n95-ffp2-mix-water-resistant/p/itmf928020b2b2d7?pid=MRPFTYY6YPZRC6VY&lid=LSTMRPFTYY6YPZRC6VYGJDKNA&marketplace=FLIPKART&srno=s_1_7&otracker=search&fm=organic&iid=0b6d1e49-20b8-45f1-91d1-4635b91ffd63.MRPFTYY6YPZRC6VY.SEARCH&ssid=47rvwc0wuo0000001597549158205&qH=50c82b3d02290f82,facemasks,"NEA N95/KN95 5-Layer Anti- Pollution , Anti- Virus Reusable, Washable Protective Respiraory Face Mask N95 FFP2 MIX Water Resistant, Reusable, Washable  (Multicolor, Free Size, Pack of 5)",799,298,54.0,41.0,12.0,3.0,15.0
https://www.flipkart.com/lino-perros-mask00012multicolor-cloth-mask/p/itm0fa72496c22bb?pid=MRPFU4X4DVPDNAWF&lid=LSTMRPFU4X4DVPDNAWFBNOGCY&marketplace=FLIPKART&srno=s_1_8&otracker=search&fm=organic&iid=en_uNUT1nrjQzv4D2jgEwV%2FzPNvhSZB6Nm3GTUov51biUOVwBkTR%2BcDG4DbkPALfemWQYK8UsGZqmKq5V917mBfZg%3D%3D&ssid=47rvwc0wuo0000001597549158205&qH=50c82b3d02290f82,facemasks,"Lino Perros MASK00012MULTICOLOR Cloth Mask  (Free Size, Pack of 3)",699,489,-1.0,-1.0,-1.0,-1.0,-1.0
https://www.flipkart.com/vebnor-100-units-disposable-3-ply-pharmaceutical-breathable-surgical-pollution-face-mask-respirator-layer-men-women-kids-100-piece/p/itmc27c74b3d31cc?pid=MRPFSA2RQC8HSWYN&lid=LSTMRPFSA2RQC8HSWYNJNNU5R&marketplace=FLIPKART&srno=s_1_9&otracker=search&fm=organic&iid=0b6d1e49-20b8-45f1-91d1-4635b91ffd63.MRPFSA2RQC8HSWYN.SEARCH&ssid=47rvwc0wuo0000001597549158205&qH=50c82b3d02290f82,facemasks,"VeBNoR 100 Units Disposable 3 Ply Pharmaceutical Breathable Surgical Pollution Face Mask Respirator with 3 Layer For Men, Women, Kids 3 Ply Surgical Mask (100 Piece) Surgical Mask  (Blue, Free Size, Pack of 100, 3 Ply)",800,249,6531.0,4194.0,2407.0,854.0,1263.0
https://www.flipkart.com/clovia-mask21p990-surgical-mask-melt-blown-fabric-layer/p/itm4f7d14ca5f550?pid=MRPFQYDTGEWGSUZ7&lid=LSTMRPFQYDTGEWGSUZ7P0XSO6&marketplace=FLIPKART&srno=s_1_10&otracker=search&fm=organic&iid=0b6d1e49-20b8-45f1-91d1-4635b91ffd63.MRPFQYDTGEWGSUZ7.SEARCH&ssid=47rvwc0wuo0000001597549158205&qH=50c82b3d02290f82,facemasks,"Clovia MASK21P990 Surgical Mask With Melt Blown Fabric Layer  (Blue, Free Size, Pack of 30, 3 Ply)",480,249,2742.0,1256.0,873.0,414.0,606.0
